Rama de actividad	Tipo de indicador	Total
A. Sectores manufactureros de alta y media-alta tecnología (B+C)	Número de establecimientos	2.934
A. Sectores manufactureros de alta y media-alta tecnología (B+C)	Cifra de negocios	23.037.155
A. Sectores manufactureros de alta y media-alta tecnología (B+C)	Distribución cifra de negocios (%)	100
A. Sectores manufactureros de alta y media-alta tecnología (B+C)	Venta de productos	19.500.655
A. Sectores manufactureros de alta y media-alta tecnología (B+C)	Valor  añadido	5.983.177
A. Sectores manufactureros de alta y media-alta tecnología (B+C)	Distribución valor añadido (%)	100
B. Sectores manufactureros de alta tecnología	Número de establecimientos	684
B. Sectores manufactureros de alta tecnología	Cifra de negocios	10.297.387
B. Sectores manufactureros de alta tecnología	Distribución cifra de negocios (%)	44,7
B. Sectores manufactureros de alta tecnología	Venta de productos	9.363.310
B. Sectores manufactureros de alta tecnología	Valor  añadido	3.048.160
B. Sectores manufactureros de alta tecnología	Distribución valor añadido (%)	50,95
B.1 Fabricación de productos farmaceúticos (CNAE 21)	Número de establecimientos	111
B.1 Fabricación de productos farmaceúticos (CNAE 21)	Cifra de negocios	5.102.799
B.1 Fabricación de productos farmaceúticos (CNAE 21)	Distribución cifra de negocios (%)	22,15
B.1 Fabricación de productos farmaceúticos (CNAE 21)	Venta de productos	4.734.586
B.1 Fabricación de productos farmaceúticos (CNAE 21)	Valor  añadido	1.622.668
B.1 Fabricación de productos farmaceúticos (CNAE 21)	Distribución valor añadido (%)	27,12
B.2 Fabricación de productos informáticos, eléctronicos y ópticos (CNAE 26)	Número de establecimientos	546
B.2 Fabricación de productos informáticos, eléctronicos y ópticos (CNAE 26)	Cifra de negocios	814.088
B.2 Fabricación de productos informáticos, eléctronicos y ópticos (CNAE 26)	Distribución cifra de negocios (%)	3,53
B.2 Fabricación de productos informáticos, eléctronicos y ópticos (CNAE 26)	Venta de productos	741.283
B.2 Fabricación de productos informáticos, eléctronicos y ópticos (CNAE 26)	Valor  añadido	283.410
B.2 Fabricación de productos informáticos, eléctronicos y ópticos (CNAE 26)	Distribución valor añadido (%)	4,74
B.3 Construcción aeronáutica y espacial y su maquinaria (CNAE 30.3)	Número de establecimientos	27
B.3 Construcción aeronáutica y espacial y su maquinaria (CNAE 30.3)	Cifra de negocios	4.380.500
B.3 Construcción aeronáutica y espacial y su maquinaria (CNAE 30.3)	Distribución cifra de negocios (%)	19,01
B.3 Construcción aeronáutica y espacial y su maquinaria (CNAE 30.3)	Venta de productos	3.887.441
B.3 Construcción aeronáutica y espacial y su maquinaria (CNAE 30.3)	Valor  añadido	1.142.083
B.3 Construcción aeronáutica y espacial y su maquinaria (CNAE 30.3)	Distribución valor añadido (%)	19,09
C. Sectores manufactureros de tecnología media-alta	Número de establecimientos	2.250
C. Sectores manufactureros de tecnología media-alta	Cifra de negocios	12.739.768
C. Sectores manufactureros de tecnología media-alta	Distribución cifra de negocios (%)	55,3
C. Sectores manufactureros de tecnología media-alta	Venta de productos	10.137.346
C. Sectores manufactureros de tecnología media-alta	Valor  añadido	2.935.017
C. Sectores manufactureros de tecnología media-alta	Distribución valor añadido (%)	49,05
C.1 Industria química (CNAE 20)	Número de establecimientos	401
C.1 Industria química (CNAE 20)	Cifra de negocios	2.281.225
C.1 Industria química (CNAE 20)	Distribución cifra de negocios (%)	9,9
C.1 Industria química (CNAE 20)	Venta de productos	1.919.265
C.1 Industria química (CNAE 20)	Valor  añadido	542.200
C.1 Industria química (CNAE 20)	Distribución valor añadido (%)	9,06
C.2 Fabricación de armas y municiones.(CNAE 25.4)	Número de establecimientos	4
