,state,1970,1980,1990,2000,2010,2020
0,United States,0.3,0.3,0.2,0.3,0.3,0.2
1,Alabama,0.0,0.0,0.0,0.0,0.0,0.0
2,Alaska,0.0,16.0,15.6,15.6,14.8,15.2
3,Arizona,21.5,14.3,9.9,10.0,11.0,8.8
4,Arkansas,0.0,0.0,0.0,0.0,0.0,0.0
5,California,1.0,0.7,0.5,0.3,0.3,0.2
6,Colorado,0.3,0.2,0.1,0.1,0.1,0.1
7,Connecticut,0.0,0.0,0.0,0.0,0.0,0.0
8,Delaware,0.0,0.0,0.0,0.0,0.0,0.0
9,District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0
10,Florida,0.1,0.0,0.1,0.0,0.0,0.0
11,Georgia,0.0,0.0,0.0,0.0,0.0,0.0
12,Hawaii,0.1,0.1,0.3,0.5,0.3,0.3
13,Idaho,2.6,1.1,0.7,0.8,0.7,0.6
14,Illinois,0.0,0.0,0.0,0.0,0.0,0.0
15,Indiana,0.0,0.0,0.0,0.0,0.0,0.0
16,Iowa,0.0,0.0,0.0,0.0,0.0,0.0
17,Kansas,0.1,0.1,0.1,0.1,0.1,0.1
18,Kentucky,0.0,0.0,0.0,0.0,0.0,0.0
19,Louisiana,0.0,0.0,0.1,0.1,0.1,0.0
20,Maine,0.1,0.1,0.1,0.1,0.1,0.2
21,Maryland,0.0,0.0,0.0,0.0,0.0,0.0
22,Massachusetts,0.0,0.0,0.0,0.0,0.0,0.0
23,Michigan,0.3,0.3,0.2,0.1,0.1,0.1
24,Minnesota,0.5,0.4,0.4,0.4,0.4,0.4
25,Mississippi,0.1,0.1,0.1,0.1,0.1,0.1
26,Missouri,0.0,0.0,0.0,0.0,0.0,0.0
27,Montana,4.7,0.8,2.0,2.8,3.0,2.8
28,Nebraska,0.3,0.3,0.2,0.2,0.3,0.3
29,Nevada,12.3,6.4,6.3,5.3,4.3,3.1
30,New Hampshire,0.0,0.0,0.0,0.0,0.0,0.0
31,New Jersey,0.0,0.0,0.0,0.0,0.0,0.0
32,New Mexico,6.7,6.3,5.4,6.8,6.5,6.2
33,New York,0.1,0.1,0.1,0.1,0.1,0.1
34,North Carolina,0.3,0.4,0.5,0.5,0.6,0.1
35,North Dakota,2.2,1.1,1.0,1.2,1.6,1.7
36,Ohio,0.0,0.0,0.0,0.0,0.0,0.0
37,Oklahoma,8.2,4.5,2.8,3.9,2.7,2.4
38,Oregon,1.2,0.8,0.6,0.5,0.4,0.4
39,Pennsylvania,0.0,0.0,0.0,0.0,0.0,0.0
40,Rhode Island,0.0,0.1,0.0,0.0,0.0,0.0
41,South Carolina,0.0,0.0,0.0,0.1,0.1,0.0
42,South Dakota,5.0,3.3,2.6,3.2,3.6,3.6
43,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0
44,Texas,0.0,0.0,0.0,0.0,0.0,0.0
45,Utah,0.9,0.8,0.6,0.6,0.7,0.6
46,Vermont,0.0,0.0,0.0,0.0,0.0,0.0
47,Virginia,0.0,0.0,0.0,0.0,0.0,0.0
48,Washington,1.9,1.0,0.7,0.7,0.7,0.6
49,West Virginia,0.0,0.0,0.0,0.0,0.0,0.0
50,Wisconsin,0.4,0.4,0.4,0.4,0.4,0.4
51,Wyoming,1.8,1.0,0.7,0.8,0.9,1.1
