,language,countries,endangerment,speakers,latitude,longitude
0,South Italian,Italy,Vulnerable,7500000,40.9798,15.249
1,Sicilian,Italy,Vulnerable,5000000,37.4399,14.5019
2,Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation",Vulnerable,4800000,53.4029,10.3601
3,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine",Vulnerable,4000000,53.956,27.5756
4,Lombard,"Italy, Switzerland",Definitely endangered,3500000,45.7215,9.3273
5,Romani,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro",Definitely endangered,3500000,46.3165,22.3681
6,Yiddish (Israel),Israel,Definitely endangered,3000000,32.0833,34.8333
7,Gondi,India,Vulnerable,2713790,19.5804,80.4418
8,Limburgian-Ripuarian,"Germany, Belgium, Netherlands",Vulnerable,2600000,50.7781,6.0864
9,Quechua of Southern Bolivia,Bolivia (Plurinational State of),Vulnerable,2300000,-18.0675,-65.7641
10,Kumaoni,"India, Nepal",Vulnerable,2003783,29.4778,79.8486
11,Aymara,"Bolivia (Plurinational State of), Chile, Peru",Vulnerable,2000000,-16.5835,-68.302
12,Emilian-Romagnol,"Italy, San Marino",Definitely endangered,2000000,44.127,12.0739
13,Piedmontese,Italy,Definitely endangered,2000000,45.2013,7.8662
14,Venetan,"Croatia, Italy, Slovenia",Vulnerable,2000000,45.4601,12.1948
15,Zazaki,Turkey,Vulnerable,2000000,38.8824,40.4846
16,Kurux (India),India,Vulnerable,1751489,22.1467,85.2758
17,Tamajeq,Niger,Vulnerable,1750000,17.2352,8.0859
18,Tulu,India,Vulnerable,1722768,12.0178,75.7067
19,Kangdi,India,Definitely endangered,1700000,32.4356,76.1242
20,Scots,United Kingdom of Great Britain and Northern Ireland,Vulnerable,1500000,56.2189,-3.7683
21,Torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia",Vulnerable,1500000,42.9644,22.1374
22,West Flemish,"Belgium, France, Netherlands",Vulnerable,1500000,51.0275,3.0541
23,Bashkir,Russian Federation,Vulnerable,1379727,54.7309,55.9863
24,Chechen,Russian Federation,Vulnerable,1331844,43.1971,45.7031
25,Chuvash,Russian Federation,Vulnerable,1325382,56.1394,47.2412
26,Meithei,India,Vulnerable,1250000,24.7667,93.8946
27,Tamang,"India, Nepal",Vulnerable,1196639,27.7365,85.6858
28,Quechua of Cuzco,Peru,Vulnerable,1115000,-13.4537,-72.0098
29,Eastern Slovak,"Slovakia, Ukraine",Vulnerable,1000000,48.8068,21.7968
30,Ligurian,"France, Italy, Monaco",Definitely endangered,1000000,44.5748,8.7011
31,Rusyn,"Hungary, Poland, Romania, Slovakia, Ukraine",Vulnerable,1000000,48.4437,22.9394
32,Talysh,"Azerbaijan, Iran (Islamic Republic of)",Vulnerable,1000000,38.814,48.6804
33,Kui,India,Vulnerable,916222,19.5908,83.9575
34,Khasi,India,Vulnerable,912000,25.691,91.8676
35,Bodo,India,Vulnerable,900000,26.7554,92.8674
36,Campidanese,Italy,Definitely endangered,900000,39.2991,8.9868
37,K'iche' (Guatemala),Guatemala,Vulnerable,890596,15.0309,-91.1485
38,Quechua of Ayacucho,Peru,Definitely endangered,850000,-13.1276,-74.2071
39,Newar,Nepal,Definitely endangered,825458,27.6981,85.3198
40,Mon,"Myanmar, Thailand",Vulnerable,800000,16.4666,97.7833
41,Polesian,"Belarus, Poland, Ukraine",Vulnerable,800000,51.8629,23.9501
42,Tamaceq,Mali,Definitely endangered,800000,16.7992,-3.0102
43,Avar,Russian Federation,Vulnerable,784840,42.4801,46.8017
44,Mundari,India,Vulnerable,750000,22.3297,86.0449
45,Welsh,United Kingdom of Great Britain and Northern Ireland,Vulnerable,750000,52.4459,-3.5485
46,Angika,"India, Nepal",Vulnerable,740892,24.7451,85.3124
47,Q'eqchi' (Guatemala),Guatemala,Vulnerable,716101,15.4707,-90.3722
48,Picard,"Belgium, France",Severely endangered,700000,50.2331,2.7905
49,Kokborok,"Bangladesh, India",Vulnerable,695000,23.7752,91.6918
50,Basque,"Spain, France",Vulnerable,660000,43.133,-2.0764
51,Kabard-Cherkes,"Russian Federation, Turkey",Vulnerable,650000,43.7393,43.4289
52,Mandeali,India,Definitely endangered,611930,31.4099,76.9921
53,Friulian,Italy,Definitely endangered,600000,46.1037,13.1396
54,Quechua of Ancash and Huánuco,Peru,Definitely endangered,600000,-9.4598,-77.1789
55,Walloon,"Belgium, France, Luxembourg",Definitely endangered,600000,50.4575,4.8559
56,Mising,India,Definitely endangered,550000,26.9612,94.0539
57,Ossete,"Georgia, Russian Federation",Vulnerable,550000,42.9564,44.4946
58,Mizo,India,Vulnerable,529000,22.9988,92.9223
59,Dargwa,Russian Federation,Vulnerable,503523,42.1145,47.4938
60,Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia",Definitely endangered,500000,40.2292,21.1376
61,Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan",Vulnerable,500000,29.0369,66.5826
62,Languedocian,France,Severely endangered,500000,43.8899,2.5378
63,Lezgian,"Azerbaijan, Russian Federation",Vulnerable,500000,41.4921,48.0541
64,Mahasui,India,Definitely endangered,496024,31.2738,77.1295
65,Magar,Nepal,Definitely endangered,489383,28.0816,83.4301
66,Mam (Guatemala),Guatemala,Vulnerable,477717,14.9305,-91.9078
67,Udmurt,Russian Federation,Definitely endangered,463837,57.2315,52.8662
68,Huasteca Náhuatl,Mexico,Vulnerable,463183,21.3835,-98.9902
69,Kumyk,Russian Federation,Vulnerable,458121,43.397,46.9775
70,Yakut,Russian Federation,Vulnerable,456288,62.3496,130.8691
71,Kaqchikel (Guatemala),Guatemala,Vulnerable,444954,14.7814,-90.7925
72,Karbi,India,Vulnerable,420000,26.2934,93.2299
73,Eastern Mari,Russian Federation,Definitely endangered,414211,56.632,47.8784
74,Ingush,Russian Federation,Vulnerable,405343,43.145,45.1043
75,Erzya,Russian Federation,Definitely endangered,400000,54.1302,45.4394
76,Ho,India,Vulnerable,400000,21.637,86.4404
77,Judezmo (Israel),Israel,Severely endangered,400000,32.0872,34.7737
78,Lalo,China,Vulnerable,400000,25.383,99.9426
79,Limousin,France,Severely endangered,400000,46.0579,1.8017
80,Logudorese,Italy,Definitely endangered,400000,40.1116,9.1845
81,Mapuche (Chile),Chile,Definitely endangered,400000,-38.5653,-73.081
82,Central Náhuatl,Mexico,Vulnerable,395581,19.191,-99.0236
83,Moselle Franconian,"Germany, Belgium, France, Luxembourg",Vulnerable,390000,49.6071,6.1248
84,Bantawa,Nepal,Vulnerable,371056,27.0994,87.0048
85,Santa,China,Vulnerable,360000,35.5411,102.7935
86,Mingrelian,Georgia,Definitely endangered,350000,42.4599,41.7205
87,West Frisian,Netherlands,Vulnerable,350000,53.1006,5.6579
88,Gurung,Nepal,Definitely endangered,338925,28.275,84.1782
89,Guajiro,"Colombia, Venezuela (Bolivarian Republic of)",Vulnerable,318500,11.8673,-71.9824
90,Karachay-Balkar,Russian Federation,Vulnerable,302748,44.2137,42.8466
