,language,endangerment,speakers,state
156,Navajo,Vulnerable,120000,Arizona
359,Sioux,Vulnerable,25000,South Dakota
443,O'odham (Akimel),Definitely endangered,15000,Arizona
444,O'odham (Tohono),Definitely endangered,15000,Arizona
502,Central Alaskan Yupik (2),Vulnerable,10400,Alaska
503,Central Alaskan Yupik (Nuniak Island),Vulnerable,10400,Alaska
517,Cherokee (Oklahoma),Definitely endangered,10000,Oklahoma
553,Choctaw (Louisiana),Vulnerable,9500,Louisiana
554,Choctaw (Mississipi),Vulnerable,9500,Mississippi
555,Choctaw (Oklahoma),Vulnerable,9500,Oklahoma
568,Zuni,Vulnerable,9000,New Mexico
580,Micmac (Massachusetts),Definitely endangered,8145,Massachusetts
592,Ojibwe,Severely endangered,8000,Minnesota
639,Rio Grande Keresan,Definitely endangered,6685,New Mexico
672,Western Apache,Definitely endangered,6000,Arizona
704,Creek,Definitely endangered,5000,Oklahoma
712,Hopi,Vulnerable,5000,Arizona
768,Acoma-Laguna,Definitely endangered,4000,New Mexico
814,Crow,Definitely endangered,3500,Montana
848,Jemez,Vulnerable,3000,New Mexico
858,"Mohawk (Akwesasne, St. Regis)",Definitely endangered,3000,Québec
934,North Alaskan Inupiaq (Kotzebue Sound),Severely endangered,2144,Alaska
935,North Alaskan Inupiaq (North Slope),Severely endangered,2144,Alaska
936,Seward Peninsula Inupiaq (King Island),Critically endangered,2144,Alaska
937,Seward Peninsula Inupiaq (Little Diomede Island),Critically endangered,2144,Alaska
938,Seward Peninsula Inupiaq (Norton Sound),Critically endangered,2144,Alaska
995,Shoshoni (Idaho),Severely endangered,2000,Idaho
996,Shoshoni (Nevada),Severely endangered,2000,Utah
997,Shoshoni (Wyoming),Severely endangered,2000,Wyoming
1032,Cheyenne (Montana),Definitely endangered,1700,Montana
1038,Upland Yuman,Vulnerable,1650,Arizona
1044,Southern Tiwa (Isleta Pueblo),Definitely endangered,1600,New Mexico
1045,Southern Tiwa (Sandia Pueblo),Definitely endangered,1600,New Mexico
1046,Tewa (Arizona),Definitely endangered,1600,Arizona
1047,Tewa (New Mexico),Severely endangered,1600,New Mexico
1068,Mescalero-Chiricahua Apache (New Mexico),Definitely endangered,1500,New Mexico
1147,Arapaho (Wyoming),Severely endangered,1000,Wyoming
1149,Blackfoot (United States of America),Definitely endangered,1000,Montana
1154,Central Siberian Yupik (St. Lawrence Island),Definitely endangered,1000,Alaska
1156,Cherokee (North Carolina),Severely endangered,1000,North Carolina
1172,Hawaiian,Critically endangered,1000,Hawaii
1175,Hualapai,Vulnerable,1000,Arizona
1268,Taos,Definitely endangered,800,New Mexico
1313,Chickasaw,Severely endangered,600,Oklahoma
1363,Yaqui (United States of America),Definitely endangered,510,Arizona
1381,Havasupai,Definitely endangered,500,Arizona
1392,Maliseet-Passamaquoddy,Severely endangered,500,Maine
1393,Mikasuki,Vulnerable,500,Florida
1413,"Ute (Colorado, Ute Mountain)",Severely endangered,500,Colorado
1426,Ottawa (Michigan),Critically endangered,459,Michigan
1431,Koasati (Louisiana),Definitely endangered,450,Louisiana
1432,Koasati (Texas),Definitely endangered,450,
1454,Cheyenne (Oklahoma),Severely endangered,400,Oklahoma
1467,Kickapoo (Kansas),Severely endangered,400,Kansas
1468,Kickapoo (Oklahoma),Severely endangered,400,Oklahoma
1469,Kickapoo (Texas),Severely endangered,400,
1470,Kiowa,Severely endangered,400,Oklahoma
1474,Northern Paiute (Nevada),Definitely endangered,400,Nevada
1536,Jicarilla Apache,Severely endangered,300,New Mexico
1547,Northern Paiute (Oregon),Critically endangered,300,Oregon
1555,Tlingit (United States of America),Critically endangered,300,Alaska
1559,Ute (Utah),Severely endangered,300,Utah
1572,Alabama,Definitely endangered,275,
1573,Cocopa (Arizona),Severely endangered,275,Arizona
1594,Winnebago (Nebraska),Severely endangered,250,Nebraska
1595,Winnebago (Wisconsin),Severely endangered,250,Wisconsin
1605,Picuris,Vulnerable,225,New Mexico
1635,Hidatsa,Definitely endangered,200,North Dakota
1655,Pacific Gulf Yupik,Severely endangered,200,Alaska
1658,Sauk-Fox,Critically endangered,200,Iowa
1691,Aleut (Eastern),Critically endangered,150,Alaska
1692,Aleut (Western),Severely endangered,150,Alaska
1695,Assiniboine (United States of America),Critically endangered,150,Montana
1700,Gwich'in (United States of America),Severely endangered,150,Alaska
1704,Koyukon,Critically endangered,150,Alaska
1709,Quechan,Definitely endangered,150,California
1714,Yavapai,Severely endangered,150,Arizona
1761,Comanche,Severely endangered,100,Oklahoma
1775,Maricopa,Severely endangered,100,Arizona
1776,Mohave (Arizona),Severely endangered,100,California
1777,Mohave (California),Severely endangered,100,California
1791,Sahaptin,Severely endangered,100,Oregon
1793,Seneca (United States of America),Severely endangered,100,New York
1795,Shawnee,Severely endangered,100,Oklahoma
1804,"Ute (Colorado, Southern Ute)",Severely endangered,100,Colorado
1858,Northern Straits Salish,Critically endangered,65,Washington
1870,Montana Salish,Critically endangered,60,Montana
1886,Upper Tanana (United States of America),Critically endangered,55,Alaska
1910,Omaha-Ponca,Critically endangered,50,Nebraska
1915,Potawatomi (Kansas),Critically endangered,50,Kansas
1916,Potawatomi (Michigan),Critically endangered,50,Michigan
1917,Potawatomi (Oklahoma),Critically endangered,50,Oklahoma
1918,Potawatomi (Wisconsin),Critically endangered,50,Wisconsin
1925,Tanacross,Critically endangered,50,Alaska
