,state,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
0,"United States
","0.4%
","0.4%
","0.4%
","0.4%
","0.4%
","0.4%
","0.4%
","0.4%
","0.3%
","0.3%
","0.2%
","0.3%
","0.3%
","0.2%
"
1,"Alabama
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
2,"Alaska
","
","
","
","
","
","
","
","
","
","
","
","
","
","
"
3,"Arizona
","34.0%
","34.0%
","34.0%
","34.0%
","34.0%
","34.0%
","34.0%
","34.0%
","21.5%
","14.3%
","9.9%
","10.0%
","11.0%
","8.8%
"
4,"Arkansas
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
5,"California
","1.4%
","1.4%
","1.4%
","1.4%
","1.4%
","1.4%
","1.4%
","1.4%
","1.0%
","0.7%
","0.5%
","0.3%
","0.3%
","0.2%
"
6,"Colorado
","0.3%
","0.3%
","0.3%
","0.3%
","0.3%
","0.3%
","0.3%
","0.3%
","0.3%
","0.2%
","0.1%
","0.1%
","0.1%
","0.1%
"
7,"Connecticut
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
8,"Delaware
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
9,"District of Columbia
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
10,"Florida
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.1%
","0.0%
","0.1%
","0.0%
","0.0%
","0.0%
"
11,"Georgia
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
12,"Hawaii
","
","
","
","
","
","
","
","
","
","
","
","
","
","
"
13,"Idaho
","4.8%
","4.8%
","4.8%
","4.8%
","4.8%
","4.8%
","4.8%
","4.8%
","2.6%
","1.1%
","0.7%
","0.8%
","0.7%
","0.6%
"
14,"Illinois
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
15,"Indiana
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
16,"Iowa
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
17,"Kansas
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
"
18,"Kentucky
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
19,"Louisiana
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.0%
","0.0%
","0.1%
","0.1%
","0.1%
","0.0%
"
20,"Maine
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.2%
"
21,"Maryland
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
22,"Massachusetts
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
23,"Michigan
","0.3%
","0.3%
","0.3%
","0.3%
","0.3%
","0.3%
","0.3%
","0.3%
","0.3%
","0.3%
","0.2%
","0.1%
","0.1%
","0.1%
"
24,"Minnesota
","0.8%
","0.8%
","0.8%
","0.8%
","0.8%
","0.8%
","0.8%
","0.8%
","0.5%
","0.4%
","0.4%
","0.4%
","0.4%
","0.4%
"
25,"Mississippi
","0.2%
","0.2%
","0.2%
","0.2%
","0.2%
","0.2%
","0.2%
","0.2%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
","0.1%
"
26,"Missouri
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
","0.0%
"
27,"Montana
","7.8%
","7.8%
","7.8%
","7.8%
","7.8%
","7.8%
","7.8%
","7.8%
","4.7%
","0.8%
","2.0%
","2.8%
","3.0%
","2.8%
"
