,name,countries,country codes alpha 3,endangerment,speakers,latitude,longitude
0,South Italian,Italy,ITA,Vulnerable,7500000.0,40.9798,15.249
1,Sicilian,Italy,ITA,Vulnerable,5000000.0,37.4399,14.5019
2,Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation","DEU, DNK, NLD, POL, RUS",Vulnerable,4800000.0,53.4029,10.3601
3,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","BRB, LVA, LTU, POL, RUS, UKR",Vulnerable,4000000.0,53.956,27.5756
4,Lombard,"Italy, Switzerland","ITA, CHE",Definitely endangered,3500000.0,45.7215,9.3273
5,Romani,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro","ALB, DEU, AUT, BRB, BIH, BGR, HRV, EST, FIN, FRA, GRC, HUN, ITA, LVA, LTU, MKD, NLD, POL, ROU, GBR, RUS, SVK, SVN, CHE, CZE, TUR, UKR, SRB, MNE",Definitely endangered,3500000.0,46.3165,22.3681
6,Yiddish (Israel),Israel,ISR,Definitely endangered,3000000.0,32.0833,34.8333
7,Gondi,India,IND,Vulnerable,2713790.0,19.5804,80.4418
8,Limburgian-Ripuarian,"Germany, Belgium, Netherlands","DEU, BEL, NLD",Vulnerable,2600000.0,50.7781,6.0864
9,Quechua of Southern Bolivia,Bolivia (Plurinational State of),BOL,Vulnerable,2300000.0,-18.0675,-65.7641
10,Kumaoni,"India, Nepal","IND, NPL",Vulnerable,2003783.0,29.4778,79.8486
11,Aymara,"Bolivia (Plurinational State of), Chile, Peru","BOL, CHL, PER",Vulnerable,2000000.0,-16.5835,-68.302
12,Emilian-Romagnol,"Italy, San Marino","ITA, SMR",Definitely endangered,2000000.0,44.127,12.0739
13,Piedmontese,Italy,ITA,Definitely endangered,2000000.0,45.2013,7.8662
14,Venetan,"Croatia, Italy, Slovenia","HRV, ITA, SVN",Vulnerable,2000000.0,45.4601,12.1948
15,Zazaki,Turkey,TUR,Vulnerable,2000000.0,38.8824,40.4846
16,Kurux (India),India,IND,Vulnerable,1751489.0,22.1467,85.2758
17,Tamajeq,Niger,NER,Vulnerable,1750000.0,17.2352,8.0859
18,Tulu,India,IND,Vulnerable,1722768.0,12.0178,75.7067
19,Kangdi,India,IND,Definitely endangered,1700000.0,32.4356,76.1242
20,Scots,United Kingdom of Great Britain and Northern Ireland,GBR,Vulnerable,1500000.0,56.2189,-3.7683
21,Torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","ALB, BGR, MKD, ROU, SRB",Vulnerable,1500000.0,42.9644,22.1374
22,West Flemish,"Belgium, France, Netherlands","BEL, FRA, NLD",Vulnerable,1500000.0,51.0275,3.0541
23,Bashkir,Russian Federation,RUS,Vulnerable,1379727.0,54.7309,55.9863
24,Chechen,Russian Federation,RUS,Vulnerable,1331844.0,43.1971,45.7031
25,Chuvash,Russian Federation,RUS,Vulnerable,1325382.0,56.1394,47.2412
26,Meithei,India,IND,Vulnerable,1250000.0,24.7667,93.8946
27,Tamang,"India, Nepal","IND, NPL",Vulnerable,1196639.0,27.7365,85.6858
28,Quechua of Cuzco,Peru,PER,Vulnerable,1115000.0,-13.4537,-72.0098
29,Eastern Slovak,"Slovakia, Ukraine","SVK, UKR",Vulnerable,1000000.0,48.8068,21.7968
30,Ligurian,"France, Italy, Monaco","FRA, ITA, MCO",Definitely endangered,1000000.0,44.5748,8.7011
31,Rusyn,"Hungary, Poland, Romania, Slovakia, Ukraine","HUN, POL, ROU, SVK, UKR",Vulnerable,1000000.0,48.4437,22.9394
32,Talysh,"Azerbaijan, Iran (Islamic Republic of)","AZE, IRN",Vulnerable,1000000.0,38.814,48.6804
33,Kui,India,IND,Vulnerable,916222.0,19.5908,83.9575
34,Khasi,India,IND,Vulnerable,912000.0,25.691,91.8676
35,Bodo,India,IND,Vulnerable,900000.0,26.7554,92.8674
36,Campidanese,Italy,ITA,Definitely endangered,900000.0,39.2991,8.9868
37,K'iche' (Guatemala),Guatemala,GTM,Vulnerable,890596.0,15.0309,-91.1485
38,Quechua of Ayacucho,Peru,PER,Definitely endangered,850000.0,-13.1276,-74.2071
39,Newar,Nepal,NPL,Definitely endangered,825458.0,27.6981,85.3198
40,Mon,"Myanmar, Thailand","MMR, THA",Vulnerable,800000.0,16.4666,97.7833
41,Polesian,"Belarus, Poland, Ukraine","BRB, POL, UKR",Vulnerable,800000.0,51.8629,23.9501
42,Tamaceq,Mali,MLI,Definitely endangered,800000.0,16.7992,-3.0102
43,Avar,Russian Federation,RUS,Vulnerable,784840.0,42.4801,46.8017
44,Mundari,India,IND,Vulnerable,750000.0,22.3297,86.0449
45,Welsh,United Kingdom of Great Britain and Northern Ireland,GBR,Vulnerable,750000.0,52.4459,-3.5485
46,Angika,"India, Nepal","IND, NPL",Vulnerable,740892.0,24.7451,85.3124
47,Q'eqchi' (Guatemala),Guatemala,GTM,Vulnerable,716101.0,15.4707,-90.3722
48,Picard,"Belgium, France","BEL, FRA",Severely endangered,700000.0,50.2331,2.7905
49,Kokborok,"Bangladesh, India","BGD, IND",Vulnerable,695000.0,23.7752,91.6918
50,Basque,"Spain, France","ESP, FRA",Vulnerable,660000.0,43.133,-2.0764
51,Kabard-Cherkes,"Russian Federation, Turkey","RUS, TUR",Vulnerable,650000.0,43.7393,43.4289
52,Mandeali,India,IND,Definitely endangered,611930.0,31.4099,76.9921
53,Friulian,Italy,ITA,Definitely endangered,600000.0,46.1037,13.1396
54,Quechua of Ancash and Huánuco,Peru,PER,Definitely endangered,600000.0,-9.4598,-77.1789
55,Walloon,"Belgium, France, Luxembourg","BEL, FRA, LUX",Definitely endangered,600000.0,50.4575,4.8559
56,Mising,India,IND,Definitely endangered,550000.0,26.9612,94.0539
57,Ossete,"Georgia, Russian Federation","GEO, RUS",Vulnerable,550000.0,42.9564,44.4946
58,Mizo,India,IND,Vulnerable,529000.0,22.9988,92.9223
59,Dargwa,Russian Federation,RUS,Vulnerable,503523.0,42.1145,47.4938
60,Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","ALB, BGR, GRC, MKD, SRB",Definitely endangered,500000.0,40.2292,21.1376
61,Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan","IRN, PAK, AFG",Vulnerable,500000.0,29.0369,66.5826
62,Languedocian,France,FRA,Severely endangered,500000.0,43.8899,2.5378
63,Lezgian,"Azerbaijan, Russian Federation","AZE, RUS",Vulnerable,500000.0,41.4921,48.0541
64,Mahasui,India,IND,Definitely endangered,496024.0,31.2738,77.1295
65,Magar,Nepal,NPL,Definitely endangered,489383.0,28.0816,83.4301
66,Mam (Guatemala),Guatemala,GTM,Vulnerable,477717.0,14.9305,-91.9078
67,Udmurt,Russian Federation,RUS,Definitely endangered,463837.0,57.2315,52.8662
68,Huasteca Náhuatl,Mexico,MEX,Vulnerable,463183.0,21.3835,-98.9902
69,Kumyk,Russian Federation,RUS,Vulnerable,458121.0,43.397,46.9775
70,Yakut,Russian Federation,RUS,Vulnerable,456288.0,62.3496,130.8691
71,Kaqchikel (Guatemala),Guatemala,GTM,Vulnerable,444954.0,14.7814,-90.7925
72,Karbi,India,IND,Vulnerable,420000.0,26.2934,93.2299
73,Eastern Mari,Russian Federation,RUS,Definitely endangered,414211.0,56.632,47.8784
74,Ingush,Russian Federation,RUS,Vulnerable,405343.0,43.145,45.1043
75,Erzya,Russian Federation,RUS,Definitely endangered,400000.0,54.1302,45.4394
76,Ho,India,IND,Vulnerable,400000.0,21.637,86.4404
77,Judezmo (Israel),Israel,ISR,Severely endangered,400000.0,32.0872,34.7737
78,Lalo,China,CHN,Vulnerable,400000.0,25.383,99.9426
79,Limousin,France,FRA,Severely endangered,400000.0,46.0579,1.8017
80,Logudorese,Italy,ITA,Definitely endangered,400000.0,40.1116,9.1845
81,Mapuche (Chile),Chile,CHL,Definitely endangered,400000.0,-38.5653,-73.081
82,Central Náhuatl,Mexico,MEX,Vulnerable,395581.0,19.191,-99.0236
