,language,endangerment,latitude,longitude
156,Navajo,Vulnerable,35.8044,-108.475
359,Sioux,Vulnerable,43.0588,-102.5244
443,O'odham (Akimel),Definitely endangered,33.059,-112.0479
444,O'odham (Tohono),Definitely endangered,31.9186,-111.8798
502,Central Alaskan Yupik (2),Vulnerable,61.4387,-160.4882
503,Central Alaskan Yupik (Nuniak Island),Vulnerable,59.8889,-166.289
517,Cherokee (Oklahoma),Definitely endangered,36.7544,-98.3569
553,Choctaw (Louisiana),Vulnerable,31.6822,-92.1252
554,Choctaw (Mississipi),Vulnerable,32.7713,-89.1163
555,Choctaw (Oklahoma),Vulnerable,34.1472,-94.81
568,Zuni,Vulnerable,35.082,-108.76
580,Micmac (Massachusetts),Definitely endangered,42.3589,-71.0578
592,Ojibwe,Severely endangered,46.0706,-93.6677
639,Rio Grande Keresan,Definitely endangered,35.5147,-106.3655
672,Western Apache,Definitely endangered,33.2563,-110.4637
704,Creek,Definitely endangered,35.6319,-95.9616
712,Hopi,Vulnerable,35.8721,-110.6205
768,Acoma-Laguna,Definitely endangered,34.8964,-107.5816
814,Crow,Definitely endangered,45.5963,-107.4613
848,Jemez,Vulnerable,35.6151,-106.7242
858,"Mohawk (Akwesasne, St. Regis)",Definitely endangered,45.0033,-74.6497
934,North Alaskan Inupiaq (Kotzebue Sound),Severely endangered,66.8972,-162.5855
935,North Alaskan Inupiaq (North Slope),Severely endangered,71.2725,-156.7749
936,Seward Peninsula Inupiaq (King Island),Critically endangered,64.9728,-168.0616
937,Seward Peninsula Inupiaq (Little Diomede Island),Critically endangered,65.755,-168.9167
938,Seward Peninsula Inupiaq (Norton Sound),Critically endangered,64.5433,-163.029
995,Shoshoni (Idaho),Severely endangered,43.0438,-112.4629
996,Shoshoni (Nevada),Severely endangered,40.0358,-113.9835
997,Shoshoni (Wyoming),Severely endangered,43.014,-108.8209
1032,Cheyenne (Montana),Definitely endangered,45.5495,-106.5263
1038,Upland Yuman,Vulnerable,36.2377,-112.7094
1044,Southern Tiwa (Isleta Pueblo),Definitely endangered,34.9057,-106.7066
1045,Southern Tiwa (Sandia Pueblo),Definitely endangered,35.2516,-106.565
1046,Tewa (Arizona),Definitely endangered,35.8334,-110.3798
1047,Tewa (New Mexico),Severely endangered,36.053,-106.0708
1068,Mescalero-Chiricahua Apache (New Mexico),Definitely endangered,33.1514,-105.7942
1147,Arapaho (Wyoming),Severely endangered,43.0139,-108.8214
1149,Blackfoot (United States of America),Definitely endangered,48.5699,-113.0918
1154,Central Siberian Yupik (St. Lawrence Island),Definitely endangered,63.7444,-171.7242
1156,Cherokee (North Carolina),Severely endangered,35.113,-84.0588
1172,Hawaiian,Critically endangered,21.9226,-160.1147
1175,Hualapai,Vulnerable,35.5279,-113.4297
1268,Taos,Definitely endangered,36.4717,-105.5596
1313,Chickasaw,Severely endangered,34.6,-96.8161
1363,Yaqui (United States of America),Definitely endangered,32.1158,-111.0638
1381,Havasupai,Definitely endangered,36.2429,-112.6897
1392,Maliseet-Passamaquoddy,Severely endangered,44.9572,-67.0496
1393,Mikasuki,Vulnerable,26.3202,-80.9877
1413,"Ute (Colorado, Ute Mountain)",Severely endangered,37.2105,-108.7223
1426,Ottawa (Michigan),Critically endangered,43.5971,-84.7752
1431,Koasati (Louisiana),Definitely endangered,30.4855,-92.8494
1432,Koasati (Texas),Definitely endangered,30.7155,-94.6965
1454,Cheyenne (Oklahoma),Severely endangered,35.6022,-97.9766
1467,Kickapoo (Kansas),Severely endangered,39.6972,-95.7089
1468,Kickapoo (Oklahoma),Severely endangered,35.4245,-97.0713
1469,Kickapoo (Texas),Severely endangered,28.6147,-100.4386
1470,Kiowa,Severely endangered,35.1016,-98.6197
1474,Northern Paiute (Nevada),Definitely endangered,41.9979,-117.7193
1536,Jicarilla Apache,Severely endangered,36.9336,-106.9984
1547,Northern Paiute (Oregon),Critically endangered,43.5883,-119.0595
1555,Tlingit (United States of America),Critically endangered,58.334,-133.7475
