,language,endangerment,speakers,latitude,longitude
156,Navajo,Vulnerable,120000.0,35.8044,-108.475
359,Sioux,Vulnerable,25000.0,43.0588,-102.5244
443,O'odham (Akimel),Definitely endangered,15000.0,33.059,-112.0479
444,O'odham (Tohono),Definitely endangered,15000.0,31.9186,-111.8798
502,Central Alaskan Yupik (2),Vulnerable,10400.0,61.4387,-160.4882
503,Central Alaskan Yupik (Nuniak Island),Vulnerable,10400.0,59.8889,-166.289
517,Cherokee (Oklahoma),Definitely endangered,10000.0,36.7544,-98.3569
553,Choctaw (Louisiana),Vulnerable,9500.0,31.6822,-92.1252
554,Choctaw (Mississipi),Vulnerable,9500.0,32.7713,-89.1163
555,Choctaw (Oklahoma),Vulnerable,9500.0,34.1472,-94.81
568,Zuni,Vulnerable,9000.0,35.082,-108.76
580,Micmac (Massachusetts),Definitely endangered,8145.0,42.3589,-71.0578
592,Ojibwe,Severely endangered,8000.0,46.0706,-93.6677
639,Rio Grande Keresan,Definitely endangered,6685.0,35.5147,-106.3655
672,Western Apache,Definitely endangered,6000.0,33.2563,-110.4637
704,Creek,Definitely endangered,5000.0,35.6319,-95.9616
712,Hopi,Vulnerable,5000.0,35.8721,-110.6205
768,Acoma-Laguna,Definitely endangered,4000.0,34.8964,-107.5816
814,Crow,Definitely endangered,3500.0,45.5963,-107.4613
848,Jemez,Vulnerable,3000.0,35.6151,-106.7242
858,"Mohawk (Akwesasne, St. Regis)",Definitely endangered,3000.0,45.0033,-74.6497
934,North Alaskan Inupiaq (Kotzebue Sound),Severely endangered,2144.0,66.8972,-162.5855
935,North Alaskan Inupiaq (North Slope),Severely endangered,2144.0,71.2725,-156.7749
936,Seward Peninsula Inupiaq (King Island),Critically endangered,2144.0,64.9728,-168.0616
937,Seward Peninsula Inupiaq (Little Diomede Island),Critically endangered,2144.0,65.755,-168.9167
938,Seward Peninsula Inupiaq (Norton Sound),Critically endangered,2144.0,64.5433,-163.029
995,Shoshoni (Idaho),Severely endangered,2000.0,43.0438,-112.4629
996,Shoshoni (Nevada),Severely endangered,2000.0,40.0358,-113.9835
997,Shoshoni (Wyoming),Severely endangered,2000.0,43.014,-108.8209
1032,Cheyenne (Montana),Definitely endangered,1700.0,45.5495,-106.5263
1038,Upland Yuman,Vulnerable,1650.0,36.2377,-112.7094
1044,Southern Tiwa (Isleta Pueblo),Definitely endangered,1600.0,34.9057,-106.7066
1045,Southern Tiwa (Sandia Pueblo),Definitely endangered,1600.0,35.2516,-106.565
1046,Tewa (Arizona),Definitely endangered,1600.0,35.8334,-110.3798
1047,Tewa (New Mexico),Severely endangered,1600.0,36.053,-106.0708
1068,Mescalero-Chiricahua Apache (New Mexico),Definitely endangered,1500.0,33.1514,-105.7942
1147,Arapaho (Wyoming),Severely endangered,1000.0,43.0139,-108.8214
1149,Blackfoot (United States of America),Definitely endangered,1000.0,48.5699,-113.0918
1154,Central Siberian Yupik (St. Lawrence Island),Definitely endangered,1000.0,63.7444,-171.7242
1156,Cherokee (North Carolina),Severely endangered,1000.0,35.113,-84.0588
1172,Hawaiian,Critically endangered,1000.0,21.9226,-160.1147
1175,Hualapai,Vulnerable,1000.0,35.5279,-113.4297
1268,Taos,Definitely endangered,800.0,36.4717,-105.5596
1313,Chickasaw,Severely endangered,600.0,34.6,-96.8161
1363,Yaqui (United States of America),Definitely endangered,510.0,32.1158,-111.0638
1381,Havasupai,Definitely endangered,500.0,36.2429,-112.6897
1392,Maliseet-Passamaquoddy,Severely endangered,500.0,44.9572,-67.0496
1393,Mikasuki,Vulnerable,500.0,26.3202,-80.9877
1413,"Ute (Colorado, Ute Mountain)",Severely endangered,500.0,37.2105,-108.7223
1426,Ottawa (Michigan),Critically endangered,459.0,43.5971,-84.7752
1431,Koasati (Louisiana),Definitely endangered,450.0,30.4855,-92.8494
1432,Koasati (Texas),Definitely endangered,450.0,30.7155,-94.6965
1454,Cheyenne (Oklahoma),Severely endangered,400.0,35.6022,-97.9766
1467,Kickapoo (Kansas),Severely endangered,400.0,39.6972,-95.7089
1468,Kickapoo (Oklahoma),Severely endangered,400.0,35.4245,-97.0713
1469,Kickapoo (Texas),Severely endangered,400.0,28.6147,-100.4386
1470,Kiowa,Severely endangered,400.0,35.1016,-98.6197
1474,Northern Paiute (Nevada),Definitely endangered,400.0,41.9979,-117.7193
1536,Jicarilla Apache,Severely endangered,300.0,36.9336,-106.9984
1547,Northern Paiute (Oregon),Critically endangered,300.0,43.5883,-119.0595
1555,Tlingit (United States of America),Critically endangered,300.0,58.334,-133.7475
1559,Ute (Utah),Severely endangered,300.0,40.2329,-109.8223
1572,Alabama,Definitely endangered,275.0,30.7158,-94.7028
1573,Cocopa (Arizona),Severely endangered,275.0,32.608,-114.6497
1594,Winnebago (Nebraska),Severely endangered,250.0,42.2475,-96.4722
1595,Winnebago (Wisconsin),Severely endangered,250.0,44.2986,-90.8508
1605,Picuris,Vulnerable,225.0,36.1914,-105.7151
1635,Hidatsa,Definitely endangered,200.0,47.7321,-102.6758
1655,Pacific Gulf Yupik,Severely endangered,200.0,58.1938,-155.6542
1658,Sauk-Fox,Critically endangered,200.0,41.9637,-92.5768
1691,Aleut (Eastern),Critically endangered,150.0,54.7212,-164.4433
1692,Aleut (Western),Severely endangered,150.0,52.2304,-174.1978
1695,Assiniboine (United States of America),Critically endangered,150.0,48.4466,-114.8783
1700,Gwich'in (United States of America),Severely endangered,150.0,68.1171,-145.5173
1704,Koyukon,Critically endangered,150.0,66.3375,-151.1608
1709,Quechan,Definitely endangered,150.0,32.7279,-114.7255
1714,Yavapai,Severely endangered,150.0,34.5638,-112.4453
1761,Comanche,Severely endangered,100.0,34.6086,-98.3904
1775,Maricopa,Severely endangered,100.0,33.3772,-112.1676
1776,Mohave (Arizona),Severely endangered,100.0,34.0231,-114.5045
1777,Mohave (California),Severely endangered,100.0,34.6905,-114.598
1791,Sahaptin,Severely endangered,100.0,44.7712,-121.2871
1793,Seneca (United States of America),Severely endangered,100.0,42.3291,-78.868
1795,Shawnee,Severely endangered,100.0,35.359,-96.9298
1804,"Ute (Colorado, Southern Ute)",Severely endangered,100.0,37.115,-107.6331
1858,Northern Straits Salish,Critically endangered,65.0,48.488,-122.6363
1870,Montana Salish,Critically endangered,60.0,47.5944,-114.1182
1886,Upper Tanana (United States of America),Critically endangered,55.0,62.6867,-141.2182
1910,Omaha-Ponca,Critically endangered,50.0,42.0817,-96.4855
1915,Potawatomi (Kansas),Critically endangered,50.0,39.3251,-95.8495
1916,Potawatomi (Michigan),Critically endangered,50.0,45.0269,-84.1992
1917,Potawatomi (Oklahoma),Critically endangered,50.0,35.3135,-96.9255
1918,Potawatomi (Wisconsin),Critically endangered,50.0,45.5601,-88.83
1925,Tanacross,Critically endangered,50.0,64.2159,-145.9643
1926,Tanaina,Severely endangered,50.0,63.3422,-148.8647
1941,Mono (Western),Critically endangered,40.0,37.0943,-119.4999
1943,Tipai (United States of America),Severely endangered,40.0,32.6049,-116.4678
